Country ISO code;BvD ID number;NACE Rev. 2 primary code;GUO - Country ISO code;GUO - BvD ID number;Result OP Revenue;Result - EMPl;Result - assets;Result P/L
DE;DE2150040276;1812;DE;DE2390016658;15216110;119;1409285;-1017915
AT;AT9070006975;4672;DE;DE2390019266;83552;9;55274;425604
DE;DE2390113171;4520;DE;DE2390020972;7657735;185;2126918;670156
DE;DE2390149459;4663;DE;DE2390154740;13817838;87;653455;1478190
DE;DE6290094815;2651;DE;DE2390157354;7902678;29;108534;1354488
PL;PL211308915;4622;DE;DE2390186029;6484357;120;656397;88302
DE;DE2390088674;7200;DE;DE2390200503;5955952;46;571021;668374
DE;DE2390044352;4510;DE;DE2390213036;4365761;3;8853;13520
DE;DE2390107755;4611;DE;DE2390245651;34003824;14;85641;298914
DE;DE2390168018;4633;DE;DE2390245651;9858050;9;31187;-2715176
DE;DE2390247387;4621;DE;DE2390245651;8230938;4;23020;72838
DE;DE2370273782;2825;DE;DE2390250093;23471526;58;201861;860958
DE;DE2151533143;7112;DE;DE2390276157;836542;60;35189;82967
DE;DE2390218132;6832;DE;DE2390280017;1792248;44;125267;24750
DE;DE2390123145;2814;DE;DE2390287061;52670521;237;3164862;6590900
DE;DE2390007425;2814;DE;DE2390316151;17978745;102;2447121;2819507
ES;ESA28145407;4329;DE;DE2390324453;29994825;196;735202;1623206
ES;ESA36633600;2920;DE;DE2390324453;6602092;34;607599;-139959
DE;DE2390009584;2016;DE;DE2390325676;59360475;182;2306254;2326703
DE;DE2390285555;6420;DE;DE2390375176;1464369;20;116636;749695
CZ;CZ26467861;2599;DE;DE2390375921;4734772;38;75389;1086255
ES;ESB82997461;4532;DE;DE2390375921;547587;2;12259;3744
FR;FR642049514;4669;DE;DE2390375921;3416000;9;166119;-701364
PL;PL356328696;4531;DE;DE2390375921;1620184;10;144204;-113870
FR;FR332773829;4675;DE;DE2390409858;10796873;19;126825;175703
PL;PL350026824;4675;DE;DE2390409858;3316273;20;48848;20432
DE;DE4010117222;4641;DE;DE2390411379;628770;11;9482;21358
DE;DE2390139130;4673;DE;DE2390458840;83628498;337;4317802;3513182
PL;PL471110985;4690;DE;DE2410000015;171889;8;512029;-70778
DE;DE2410006775;3102;DE;DE2410005947;50738174;165;2601396;5171999
DE;DE2410019541;6820;DE;DE2410006288;10516051;90;44252588;534237
DE;DE2410056539;9311;DE;DE2410006288;122664657;132;76723656;2878100
ES;ESB62604343;4690;DE;DE2410020748;1104734;1;35458;176767
DE;DE2410045995;3832;DE;DE2410022944;17710552;58;19647389;2362617
DE;DE2410036508;4211;DE;DE2410069694;47843464;224;1634640;751854
DE;DE2410025041;7010;DE;DE2410071554;29371779;335;9243242;-2115653
DE;DE2410038540;8610;DE;DE2410071554;71212172;586;77522125;2658413
DE;DE2410017685;7010;DE;DE2410074932;3701224;13;1644897;1712635
DE;DE8010040359;4642;DE;DE2410100493;56141071;97;831646;6802835
DE;DE3030163208;9609;DE;DE3030023408;6605987;7;1683;-559059
DE;DE3030182583;6203;DE;DE3030023408;7344163;49;529290;327675
DE;DE3030236320;3513;DE;DE3030023408;139595402;51;2745;663161
DE;DE3030011053;4510;DE;DE3030039380;12906211;31;846003;101300
DE;DE3030045639;110;DE;DE3030043130;12885318;88;8186183;1688892
DE;DE3030001545;6832;DE;DE3030107428;1908913;8;4338161;145026
DE;DE3030221346;2511;DE;DE3030110917;5071092;65;486786;618856
DE;DE3310020167;8610;DE;DE3030180600;25984440;250;28118645;194941
DE;DE3030003499;4510;DE;DE3030182085;23398930;70;7361998;1071261
AT;AT9030020135;2590;DE;DE3030200694;9635677;141;3400859;-1370436
